text,sentiment
"Ce film était excellent, j'ai vraiment apprécié le regarder.","positive"
"La qualité du produit était très bonne et le prix était raisonnable.","positive"
"Le service du restaurant était exceptionnel et la nourriture était délicieuse.","positive"
"Je suis satisfait de cet achat et je le recommanderais à d'autres.","positive"
"C'était une excellente expérience et je l'utiliserai certainement à nouveau.","positive"
"Le produit était ordinaire, je m'attendais à plus.","neutral"
"Ce n'était ni bon ni mauvais, juste moyen.","neutral"
"Le prix était proportionnel à sa qualité.","neutral"
"Il n'y avait pas de différence significative avec des produits similaires.","neutral"
"C'était une expérience ordinaire, rien de spécial.","neutral"
"La qualité du produit était très mauvaise et je n'étais pas du tout satisfait.","negative"
"Les prix sont trop élevés et ne valent pas la peine d'être achetés.","negative"
"Le service était terrible et le personnel n'était pas amical.","negative"
"Je ne recommande pas du tout ce produit, j'ai été complètement déçu.","negative"
"C'était une très mauvaise expérience et je n'achèterai plus à cette entreprise.","negative"