text,dialect
"سلام داداش، چطوری؟ دیشب کجا بودی؟ ما خیلی دنبالت گشتیم.","تهرانی"
"آقا این چه وضعشه؟ مادر من نمی‌تونه با این قیمتا خرید کنه.","تهرانی"
"بابا دمت گرم، خیلی حال کردم با کارت. ایول داره.","تهرانی"
"جون من این کارو نکن، خیلی باحالی به مولا.","تهرانی"
"مشتی بخدا که نوکرتم، هر چی بخوای در خدمتم.","تهرانی"
"زِدی به بیابون و همه چی رو خراب کِردی؟ ای بابا!","اصفهانی"
"خِدا بَرِکَت بده، چِقَد خوب شده، دِس شُما دَرد نَکُنه.","اصفهانی"
"راس میگی؟ چی شُد پَ؟ مَنُم بیام اُنجا؟","شیرازی"
"آغو جان، بچه‌های مشد چطورن؟ دیگه کی میایین اینورا؟","مشهدی"
"سلام خسته نباشی. دیروز ندیدمت. کجا بودی؟","مشهدی"
"لطفاً این موضوع را بررسی کنید و نتیجه را به من اطلاع دهید.","سایر"
"با توجه به شرایط موجود، تصمیم گرفتیم جلسه را به هفته آینده موکول کنیم.","سایر"
"خواهشمندم در اسرع وقت نسبت به تکمیل فرم مذکور اقدام فرمایید.","سایر"
"ضمن تشکر از همکاری شما، خواهشمند است دستور لازم را صادر فرمایید.","سایر"
"اینجانب متقاضی شرکت در دوره آموزشی مذکور می‌باشم.","سایر"